epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17041.6,0.31946,0.47979,1.03583,0.56639,0.63178,0.71963,0.69626,0.29531,3.40941,0.83983,0.000703961,0.000703961,0.000703961
43,20279,0.31337,0.47431,1.03539,0.55928,0.6966,0.67725,0.65974,0.27827,3.11947,0.80811,0.000686277,0.000686277,0.000686277
44,23646.6,0.31127,0.46446,1.03278,0.7094,0.42923,0.74332,0.72305,0.27005,3.28036,0.81311,0.000668593,0.000668593,0.000668593
45,26909.2,0.31244,0.47707,1.02757,0.71003,0.43461,0.75057,0.72843,0.27304,3.09879,0.80946,0.000650909,0.000650909,0.000650909
46,30223.5,0.31589,0.46549,1.03258,0.34283,1,0.76611,0.73378,0.30974,2.79682,0.8645,0.000633226,0.000633226,0.000633226
47,33480.7,0.30942,0.45327,1.03119,0.33961,1,0.73507,0.71629,0.2736,2.66116,0.81234,0.000615542,0.000615542,0.000615542
48,36769.1,0.30699,0.45142,1.03038,0.47309,0.79843,0.73004,0.70404,0.28109,1.95096,0.81218,0.000597858,0.000597858,0.000597858
49,40068.9,0.30601,0.45094,1.02813,0.78051,0.38864,0.7522,0.73012,0.28568,3.18062,0.84276,0.000580174,0.000580174,0.000580174
50,7029.54,0.29924,0.43292,1.02172,0.74981,0.5078,0.78442,0.75107,0.28548,2.59161,0.81627,0.00056249,0.00056249,0.00056249
51,11499.1,0.29312,0.42799,1.01871,0.375,0.98295,0.74022,0.72092,0.26191,2.01026,0.77827,0.000544806,0.000544806,0.000544806
52,15997.1,0.29475,0.43029,1.02059,0.60046,0.58816,0.72966,0.71137,0.22482,3.13036,0.76703,0.000527122,0.000527122,0.000527122
53,20456.4,0.29594,0.41219,1.02004,0.36998,0.99479,0.71315,0.6904,0.25379,3.74935,0.79056,0.000509438,0.000509438,0.000509438
54,24948.4,0.29373,0.40556,1.02245,0.35192,1,0.73246,0.71342,0.23659,3.11899,0.75797,0.000491755,0.000491755,0.000491755
55,29366.6,0.28564,0.39867,1.01715,0.59362,0.64151,0.7216,0.70302,0.25552,3.41401,0.80029,0.000474071,0.000474071,0.000474071
56,33746.3,0.28509,0.40903,1.0103,0.64777,0.41051,0.70414,0.68207,0.26567,3.31366,0.81337,0.000456387,0.000456387,0.000456387
57,38096.4,0.28831,0.3966,1.01431,0.36333,0.99479,0.7713,0.74604,0.26568,3.00003,0.80473,0.000438703,0.000438703,0.000438703
58,42463.2,0.28523,0.38615,1.01411,0.53316,0.66801,0.76491,0.73911,0.28417,1.96216,0.83488,0.000421019,0.000421019,0.000421019
59,5161.55,0.27718,0.37006,1.00879,0.52235,0.78105,0.70102,0.67899,0.27832,2.69232,0.80583,0.000403335,0.000403335,0.000403335
60,8538.88,0.26953,0.36139,1.00482,0.43304,0.75742,0.7554,0.74005,0.27275,2.32803,0.79807,0.000385651,0.000385651,0.000385651
61,11909,0.27352,0.36934,1.01215,0.36159,0.99132,0.68924,0.66779,0.25446,3.73285,0.78968,0.000367967,0.000367967,0.000367967
62,15287.1,0.26951,0.34156,1.00355,0.3632,0.99306,0.69048,0.67046,0.26022,3.95459,0.80869,0.000350284,0.000350284,0.000350284
